PMID	DRUG	AE	LlamaTiFirst	LlamaAbFirst	pAuth_modelA	pAuth_modelB	aAuth	Title	Abstract
30148913	Methotrexate	Subacute Combined Degeneration	1	1	0	0	0.0	[Spinal subacute combined degeneration after intrathecal chemotherapy. Report of two cases].	Intrathecal chemotherapy may be complicated with the development of myelopathies or toxic radiculopathies. This myeloradicular involvement, of toxic character, is unpredictable, since these patients have repeatedly received Intrathecal chemotherapy with the same drugs without apparent injury. The toxic effect should be mainly attributed to Cytarabine and not to methotrexate, since the central nervous system lacks Cytidine deaminase, the enzyme that degrades Cytarabine. We report two patients, an 18-year-old woman and a 16 years old male, who received systemic and intrathecal chemotherapy (methotrexate, cytarabine) for the treatment of an acute lymphoblastic leukemia and developed, in relation to this procedure, a spinal subacute combined degeneration. They had a proprioceptive and motor alteration of the lower extremities and neuroimaging showed selective rear and side spinal cord hyper intensity produced by central axonopathy. Two weeks later the woman developed a quadriplegia and the young man a flaccid paraplegia due to added root involvement.
29767581	Cisplatin	Liver Failure, Acute	1	1	0	0	0.0	Lethal hepatotoxicity following 5-fluorouracil/cisplatin chemotherapy: a relevant case report.	Some articles have reported severe toxicities induced by cisplatin/5-fluorouracil regimens, nevertheless, severe and lethal liver toxicity has not been previously reported. In this article, we report the case of a 72-year-old woman, who developed fulminant hepatitis, hypoglycemia and hypotension with atrial fibrillation not responding to treatment. After ruling out all other possible causes of hepatitis, the toxicity was more likely attributed to 5-fluorouracil. Genotyping was performed and the patient was found to be a homozygote carrier of the T variant of the MTHFR gene. The patient died two days later. Several factors, including genetic factors, could explain this severe toxicity. The present case discusses the importance of personalized medicine in oncology based on pharmacogenetic analysis of polymorphisms.
29767581	Fluorouracil	Liver Failure, Acute	1	1	0	0	0.0	Lethal hepatotoxicity following 5-fluorouracil/cisplatin chemotherapy: a relevant case report.	Some articles have reported severe toxicities induced by cisplatin/5-fluorouracil regimens, nevertheless, severe and lethal liver toxicity has not been previously reported. In this article, we report the case of a 72-year-old woman, who developed fulminant hepatitis, hypoglycemia and hypotension with atrial fibrillation not responding to treatment. After ruling out all other possible causes of hepatitis, the toxicity was more likely attributed to 5-fluorouracil. Genotyping was performed and the patient was found to be a homozygote carrier of the T variant of the MTHFR gene. The patient died two days later. Several factors, including genetic factors, could explain this severe toxicity. The present case discusses the importance of personalized medicine in oncology based on pharmacogenetic analysis of polymorphisms.
29515281	Dapsone	Hypothyroidism	1	1	0	0	0.0	Fatal dapsone hypersensitivity syndrome with hypothyroidism and steroid-induced diabetes mellitus.	Dapsone has been part of the World Health Organization multidrug therapy for the treatment of leprosy. While it has been efficacious in the management of leprosy, there are many patients who develop adverse drug reactions to the drug including life-threatening reactions such as dapsone hypersensitivity syndrome (DHS). We report a case of a patient who was prescribed dapsone as part of multidrug therapy for leprosy following which she developed DHS. Her condition worsened after tapering the oral steroids given to manage the DHS, and she was detected to have hypothyroidism. She developed diabetes mellitus and succumbed to septic shock.
29476878	Betamethasone	Hypercalcemia	0	1	0	0		Low systemic exposure and calcemic effect of calcipotriol/betamethasone ointment in rats with imiquimod-induced psoriasis-like dermatitis.	Vitamin D(3) (VD(3)) analogues-containing ointments are known to occasionally cause hypercalcemia in psoriasis patients, and the frequency of hypercalcemia is suggested to vary based on the VD(3) analogue used. In this study, to address the differences in calcemic effects of VD(3)-containing ointments, the calcemic effects of marketed VD(3)-containing ointments, including calcipotriol (Cal), maxacalcitol (Max), tacalcitol (Tac), calcipotriol/betamethasone dipropionate (Cal/BDP) and maxacalcitol/betamethasone butyrate propionate (Max/BBP) ointments, were evaluated in a rat model of imiquimod-induced dermatitis. The topical application of Tac, Max and Max/BBP ointments, but not Cal and Cal/BDP ointments, to the imiquimod-induced skin lesions significantly induced an increase in the serum calcium level compared with the vaseline-treated group. Calcemic effect of VD(3) analogues in rats treated with VD(3)-containing ointments was analyzed by evaluating the expression of vitamin D receptor target genes, such as Cyp24a1, Trpv5 and CalbindinD28k, in the intestine and kidney. Real-time reverse transcription PCR (RT-PCR) analysis showed that the renal and intestinal Cyp24a1 expressions in the Cal- and Cal/BDP-treated groups were significantly lower than those in the Tac-, Max- and Max/BBP-treated groups, suggesting that systemic exposure of VD(3) analogues in the Cal- and Cal/BDP-treated groups were lower than those in the other ointment-treated groups. In addition, the renal Trpv5 and CalbindinD28k expressions, calcium-transporting genes, were increased in the Max- and Max/BBP-treated groups compared with the Cal- and Cal/BDP-treated groups. Thus, because of the low systemic exposure of VD(3) analogues, Cal and Cal/BDP ointments have lower calcemic effect than the other VD(3)-containing ointments in rats with psoriasis-like dermatitis.
29476878	Clobetasol	Hypercalcemia	0	1	0	0		Low systemic exposure and calcemic effect of calcipotriol/betamethasone ointment in rats with imiquimod-induced psoriasis-like dermatitis.	Vitamin D(3) (VD(3)) analogues-containing ointments are known to occasionally cause hypercalcemia in psoriasis patients, and the frequency of hypercalcemia is suggested to vary based on the VD(3) analogue used. In this study, to address the differences in calcemic effects of VD(3)-containing ointments, the calcemic effects of marketed VD(3)-containing ointments, including calcipotriol (Cal), maxacalcitol (Max), tacalcitol (Tac), calcipotriol/betamethasone dipropionate (Cal/BDP) and maxacalcitol/betamethasone butyrate propionate (Max/BBP) ointments, were evaluated in a rat model of imiquimod-induced dermatitis. The topical application of Tac, Max and Max/BBP ointments, but not Cal and Cal/BDP ointments, to the imiquimod-induced skin lesions significantly induced an increase in the serum calcium level compared with the vaseline-treated group. Calcemic effect of VD(3) analogues in rats treated with VD(3)-containing ointments was analyzed by evaluating the expression of vitamin D receptor target genes, such as Cyp24a1, Trpv5 and CalbindinD28k, in the intestine and kidney. Real-time reverse transcription PCR (RT-PCR) analysis showed that the renal and intestinal Cyp24a1 expressions in the Cal- and Cal/BDP-treated groups were significantly lower than those in the Tac-, Max- and Max/BBP-treated groups, suggesting that systemic exposure of VD(3) analogues in the Cal- and Cal/BDP-treated groups were lower than those in the other ointment-treated groups. In addition, the renal Trpv5 and CalbindinD28k expressions, calcium-transporting genes, were increased in the Max- and Max/BBP-treated groups compared with the Cal- and Cal/BDP-treated groups. Thus, because of the low systemic exposure of VD(3) analogues, Cal and Cal/BDP ointments have lower calcemic effect than the other VD(3)-containing ointments in rats with psoriasis-like dermatitis.
29472509	Sodium Chloride	Phlebitis	1	0	0	0		Association between continuous peripheral i.v. infusion of 3% sodium chloride injection and phlebitis in adults.	PURPOSE: One institution's experience with use of peripheral i.v. (PIV) catheters for prolonged infusions of 3% sodium chloride injection at rates up to 100 mL/hr is described. METHODS: A prospective, observational, 13-month quality assurance project was conducted at an academic medical center to evaluate frequencies of patient and catheter phlebitis among adult inpatients who received both an infusion of 3% sodium chloride injection for a period of >/=4 hours through a dedicated PIV catheter and infusions of routine-care solutions (RCSs) through separate PIV catheters during the same hospital stay. RESULTS: Sixty patients received PIV infusions through a total of 291 catheters during the study period. The majority of patients (78%) received infusions of 3% sodium chloride injection for intracranial hypertension, with 30% receiving such infusions in the intensive care unit. Phlebitis occurred in 28 patients (47%) during infusions of 3% sodium chloride and 26 patients (43%) during RCS infusions (p = 0.19). Catheter phlebitis occurred in 73 catheters (25%), with no significant difference in the frequencies of catheter phlebitis with infusion of 3% sodium chloride versus RCSs (30% [32 of 106 catheters]) versus 22% [41 of 185 catheters]), p = 0.16). CONCLUSION: Patient and catheter phlebitis rates were not significantly different with infusions of 3% sodium chloride injection versus RCSs, suggesting that an osmolarity cutoff value of 900 mOsm/L for peripheral infusions of hypertonic saline solutions may not be warranted.
29427835	Phenytoin	Sensation Disorders	1	1	0	0	0.0	Phenytoin-related ataxia in patients with epilepsy: clinical and radiological characteristics.	PURPOSE: Phenytoin is an effective anticonvulsant for focal epilepsy. Its use can be associated with long-term adverse effects including cerebellar ataxia. Whilst phenytoin is toxic to Purkinje cells in vitro; the clinical and radiological phenotype and mechanism of cerebellar degeneration in vivo remain unclear. We describe the prevalence, clinical and radiological characteristics of phenytoin-related ataxia. METHODS: Patients with epilepsy receiving treatment with phenytoin were recruited from the Epilepsy clinics at Royal Hallamshire Hospital, Sheffield, UK. Neurological examination was performed on all patients after recruitment. Patients were categorised into those with and without ataxia. We determined the severity of ataxia clinically (SARA score) and the pattern of cerebellar involvement by neuroimaging (MRI volumetry and MR spectroscopy). RESULTS: Forty-seven patients were recruited. Median duration of epilepsy was 24 years, median duration of phenytoin treatment was 15 years and current median phenytoin daily dose was 325 mg. Fifty-five percent of patients complained of poor balance. Clinical evidence of ataxia was seen in 40% patients. Gait, stance and heel-shin slide were the predominant features of cerebellar dysfunction. MRI demonstrated structural, volumetric and functional deficits of the cerebellum. Only one patient with ataxia had phenytoin levels above the normal range. CONCLUSIONS: Cerebellar ataxia is present in 40% of patients with epilepsy and chronic exposure to phenytoin. Patients on long-term phenytoin have reduced cerebellar volume even if they have no clinical evidence of ataxia. Evidence of structural deficits on imaging suggests a predilection for vermian involvement.
28029349	Gold Sodium Thiosulfate	Hand Dermatoses	1	0	0	0		Retrospective Observational Epidemiologic Study of Sensitization to Gold Sodium Thiosulfate in the Allergy Clinic of a Tertiary Hospital.	
27460941	Dabigatran	Eosinophilia	1	1	0	0	0.0	Dabigatran can cause eosinophilic pleural and pericardial effusion with blood eosinophilia.	Eosinophilic pleural effusions (EPE) account for 5%-8% of all exudative pleural effusions. A pleural effusion is defined as eosinophilic if it contains 10% or more eosinophils. We present the case of a 70-year-old man with EPE, blood eosinophilia and pericardial effusion due to dabigatran, a novel anti-thrombin agent.
