PMID	MHDA	DRUG	AE	PT	LlamaTiFirst	LlamaAbFirst	pAuth_modelA	pAuth_modelB	aAuth	Title	Abstract
29720579	2018/10/12	Mycophenolic Acid	Congenital Microtia	Case Reports_and_Journal Article_and_Review	1	1	0	0	0	Congenital Esophageal Atresia and Microtia in a Newborn Secondary to Mycophenolate Mofetil Exposure During Pregnancy: A Case Report and Review of the Literature.	BACKGROUND Mycophenolate mofetil (MMF) is one of the most commonly prescribed drugs to prevent organ transplant rejection in combination with calcineurin inhibitors and steroids. It has a different toxicity profile than tacrolimus and cyclosporine.  Gastrointestinal tract disturbances are the most common adverse effects. The use of MMF in pregnant women, however, holds great risk of miscarriage and fetal development defects such as external ear malformation, ocular anomalies, cleft lip and palate, and abnormality of distal limbs, heart, esophagus, and kidneys. Based on post-marketing studies, its pregnancy category was reclassified as category D by the US FDA in 2007. CASE REPORT A 20-year-old woman received a deceased-donor liver transplant for end-stage liver disease secondary to autoimmune hepatitis. She had 3 miscarriages while on MMF. In her fourth pregnancy she was exposed to MMF in the first trimester, which was stopped by week 20 of the pregnancy. Obstetric ultrasound suggested a cephalic presentation fetus with abdominal circumference. Her pregnancy resulted in an infant with tracheoesophageal fistula, esophageal atresia, and a bilateral ear canal atresia (microtia) with normal sensorineural conduction. There were no other congenital abnormalities. Thoracoscopic ligation of fistula and thoracotomy with esophageal repair were performed and a bone-anchored hearing aid for conductive hearing loss was implanted. Here, we report a case of congenital esophageal atresia and microtia secondary to mycophenolate mofetil. CONCLUSIONS MMF should be avoided during pregnancy. Transplanted female patients of reproductive age should receive appropriate counseling.
30367758	2018/12/20	Meglumine Antimoniate	Eosinophilia	Case Reports_and_Journal Article	1	1	0	1	0	Meglumine antimoniate-induced DRESS: original case with a positive skin test.	We report a case of a 64-year-old woman treated with meglumine antimoniate (Glucantime(R)). On day 20, she developed fever, a pruriginous skin rash and myalgia. The blood tests showed eosinophilia and hepatic cytolysis. The clinico-biological picture improved gradually and the symptoms disappeared 4 weeks after the drug withdrawal. Six weeks later, intradermal tests to Glucantime(R) were performed and were positive at 48 hour-reading. This clinical picture suggests DRESS induced by meglumine antimoniate. To the best of our knowledge, only one case of meglumine antimoniate-induced DRESS has been reported in the literature and we are the first to report a case confirmed by skin tests.
29550610	2019/9/3	Acetaminophen	Conduct Disorder	Journal Article_and_Research Support, Non-U.S. Gov't	0	0	0	0	0	Pregnancy risk factors in relation to oppositional-defiant and conduct disorder symptoms in the Avon Longitudinal Study of Parents and Children.	BACKGROUND: Pregnancy factors have been implicated in offspring oppositional-defiant disorder (ODD) and conduct disorder (CD) symptoms. Literature still holds notable limitations, such as studying only a restricted set of pregnancy factors, use of screening questionnaires which assess broadly defined outcome measures, and lack of control for disruptive behavior comorbidity and genetic confounds. We aimed to address these gaps by prospectively studying a broad range of pregnancy factors in relation to both offspring ODD and CD symptomatology in the Avon Longitudinal Study of Parent and Children. METHODS: Outcomes were ODD and CD symptom scores at age 7;9 years using the Development and Well-Being Assessment interview. We analyzed maternal (N  approximately  6300) and teacher ratings (N  approximately  4400) of ODD and CD scores separately using negative binomial regression in multivariable models. Control variables included comorbid attention-deficit/hyperactivity disorder symptoms, ODD or CD symptoms as appropriate, and genetic risk scores based on an independent CD genome-wide association study. RESULTS: Higher ODD symptom scores were linked to paracetamol use (IRR = 1.24 [98.3% confidence interval 1.05-1.47], P = 0.002, teacher ratings) and life events stress (IRR = 1.22 [1.07-1.39], P = 0.002, maternal ratings) during pregnancy. Higher CD symptom scores were linked to maternal smoking (IRR = 1.33 [1.18-1.51], P < 0.001, maternal ratings), life events stress (IRR = 1.24 [1.11-1.38], P < 0.001, maternal ratings) and depressive symptoms (IRR = 1.14 [1.01-1.30], P = 0.006, maternal ratings) during pregnancy. CONCLUSIONS: Common and potentially preventable pregnancy risk factors were independently related to both offspring ODD and CD symptomatology in children from the general population. Future studies should further address genetic confounds and confounding by environmental factors later in life.
28166163	2019/3/15	Deoxycholic Acid	Cellulitis	Case Reports_and_Journal Article	1	0	0	0	0	Submental Abscess After Deoxycholic Acid Injection.	
30412820	2019/3/30	Methyldopa	Depression, Postpartum	Journal Article	1	1	0	0	0	Risk analysis of suicidal ideations and postpartum depression with antenatal alpha methyldopa use.	Out of the various risk factors for postpartum depression, use of pharmacotherapy during pregnancy is the most poorly understood. The present study aimed to establish risk of postpartum depression and suicidal ideations with antenatal use of alpha methyldopa. Out of the 100 postpartum women assessed, 77.78% of the women who were prescribed alpha methyldopa had significant postpartum depression. There was statistically significant risk of postpartum depression associated with alpha methyldopa (p = 0.026, OR = 6.45). There was no increased suicidal risk with use of alpha methyldopa in these women (p = 1.00).
29653019	2019/6/27	Ipilimumab	Uveitis, Posterior	Case Reports_and_Letter	1	0	0	0	0	Bilateral ipilimumab-induced posterior uveitis following treatment for metastatic choroidal melanoma.	
29784092	2019/9/7	Perindopril	Choroid Diseases	Case Reports_and_Journal Article	0	0	0	0	0	Coversyl-Induced Transient Serous Choroidal Detachments.	
28129309	2019/1/8	Lorazepam	Tongue, Hairy	Case Reports_and_Letter	1	0	0	0	0	Black Hairy Tongue Associated With Lorazepam Treatment of a Male Smoker With Major Depression.	
28190750	2018/10/13	Acetaminophen	Anastomotic Leak	Comparative Study_and_Journal Article	1	0	0	0	0	Role of diclofenac sodium and paracetamol on colonic anastomosis: An experimental rodent model.	BACKGROUND: Despite many advances in surgery and technology, colonic anastomosis remains a challenge after colonic resection. The purpose of this study is to compare the safety of using diclofenac sodium and paracetamol for analgesia in colonic anastomosis on rats. METHODS: Wistar-Hannover rats were randomly allocated to four groups: Group 1, sham-operated group; Group 2, control group; Group 3, diclofenac sodium group; Group 4, paracetamol group. After laparotomy, the left colon was transected and a single-layer anastomosis was made with 5/0 vicryl in Groups 2, 3, and 4. Only laparotomy was performed in Group 1. After anastomosis, we administered saline to Group 2, diclofenac sodium to Group 3, and paracetamol to Group 4 for 7 days. Then, all animals were decapitated. The anastomotic region was resected, and bursting pressure was measured. Then, the specimen was sent to the laboratory for histological examination and hydroxyproline analysis. RESULTS: Bursting pressure and hydroxyproline level were significantly higher in the paracetamol group (p<0.05). When we looked at the fibrosis levels of these groups, it was also higher in paracetamol group. CONCLUSION: Bursting pressure, hydroxyproline levels, and fibrosis levels indicate that the perioperative use of paracetamol for analgesia when undergoing colonic anastomosis is safer than diclofenac sodium.
30187551	2019/3/26	Ustekinumab	Pancreatitis	Case Reports_and_Journal Article	1	0	0	0	0	Positioning biologics-A case-based discussion: Ustekinumab.	
